,id,review,category,rating,city,lat,lon
910,U52HFgzOsYUdufBUXD8Ozg,62,pizza,3.5,Frankfort,41.51768431,-87.84816663
911,8PgCEQRNhGiGG9HQxpIJKw,141,bbq,4.5,Frankfort,41.5108362,-87.849366
912,MBY7uUoknyPxba464mr2jQ,123,steak,4,Mokena,41.54104233,-87.85521698
913,AOrJaeHa0-BkJ8v5SekUqQ,25,cocktailbars,4,Mokena,41.54305359,-87.85463545
914,xjITqDw0u2ljgHsF0BBCIQ,165,italian,3.5,Frankfort,41.50567627,-87.86546326
915,vW_nsGPFmm3dT7DHOe-Feg,179,bbq,4,Mokena,41.54445,-87.84833
916,pEzRKog4Awf3UsvIuSpc9g,18,mexican,3.5,Frankfort,41.52768,-87.84897
917,2-NVU8FeEdDnj8xP96JfvQ,131,pubs,3,Frankfort,41.52228147,-87.8477796
918,g0nlicxRccXDde3ZI5mVQg,135,newamerican,4,Mokena,41.5447999,-87.8530554
919,TA_DyRnGXVeIdZz-RlWEJQ,102,tacos,4,Tinley Park,41.556072,-87.819329
920,W71H9B_ChEpzdHlV6icmiw,98,cajun,3,Tinley Park,41.5573,-87.85251
921,vQZzFvbuCeuNgWJaNzl_aA,168,sushi,4,Mokena,41.52966448,-87.85150519
922,F544bZ4GkE5hsXA6WqHqng,7,burgers,4.5,Frankfort,41.52975,-87.79133
923,ymvc-arqiErF5JYXx4ahIA,66,mexican,4.5,Frankfort,41.5068893,-87.8086243
924,pj7dYWosXP-bPkgM0DvEFw,7,chicken_wings,2.5,Frankfort,41.505525,-87.8513881
925,1cTJXGodefQtMnxELz4mxQ,25,italian,4.5,Frankfort,41.50712,-87.81712
926,hwD6cqioeOSarJYQvYz3GQ,251,sportsbars,3,New Lenox,41.50665,-87.9167499
927,bBWlNEIakRgYmVM04Dt7JA,101,newamerican,4,New Lenox,41.510692,-87.922034
928,54wmLVvyjlU4jz8SZVUmBQ,104,newamerican,3.5,Mokena,41.54448,-87.84932
929,XOGbbOJkFrSoQ-upJshvWg,61,pizza,4,Frankfort,41.5058099,-87.85738
930,JzhHfr2QTG-xaRuVaQjxcg,226,steak,3.5,Tinley Park,41.57573,-87.78477
931,B5BKsrp82hnSJsD1wZElng,228,breweries,4,Tinley Park,41.559374,-87.791176
932,iZ5MepIMbmtxQPBLCQ5q0Q,120,burgers,4.5,Tinley Park,41.55803619,-87.81385245
933,v8-QyIqSSm5zltDTUx7WQg,64,italian,2.5,Frankfort,41.51170168,-87.84738148
934,bXNa9JI05wFfFZCYQDPjGw,95,thai,4.5,New Lenox,41.51077,-87.93021
935,ErHbUhrfupw_OFwoghhlGQ,106,chinese,4,Mokena,41.54051971,-87.84986115
936,AcJltLuGv-YbAzO8riTdeQ,27,newamerican,4.5,Tinley Park,41.575717,-87.782852
937,nv-vnt4Z9_NW6WeQWCIIQA,138,japanese,3,Mokena,41.50440497,-87.89163289
938,DJinQfkXfCg32rtvVftUdw,111,mexican,3.5,Frankfort,41.50705335,-87.85004926
939,znfgOskimLl2AAlHQXiR9A,52,delis,4,Frankfort,41.51811,-87.84902
940,b7DCDuRT3kCcaljOwJDxSw,139,italian,3.5,Tinley Park,41.578536,-87.784103
941,6kGSbu7S4Ectvc1Lv3aUTg,161,newamerican,3.5,Tinley Park,41.55661,-87.79541
942,RyUW6FacDVjaIxIpe9h_Ww,165,italian,3.5,Tinley Park,41.5571,-87.81321
943,Zyi-zzVPx2JYV2tob721vg,161,thai,4.5,Orland Park,41.5644422,-87.88368742
944,tbGhuz8yxB2dE0G-SmrP_w,36,chinese,4,Frankfort,41.507915,-87.850058
945,MD0OJXVlXUagolh5VHHjAw,190,vietnamese,4.5,Tinley Park,41.565757,-87.850387
946,rB40-SRaNDnQE-NZleU4rg,44,tradamerican,3,Frankfort,41.506272,-87.8030541
947,YzhGXwjuW7P2ORNVTEfFHA,265,seafood,3.5,Tinley Park,41.559905,-87.792307
948,n14YZrB-rDNvvx4XMxLFzA,38,mexican,3.5,Frankfort,41.52042,-87.80298
949,#NAME?,55,italian,3.5,Frankfort,41.50880763,-87.85023571
950,y3b6WBV9hVlsYNVO7Vpang,681,newamerican,4,Harrisburg,40.27069,-76.88753
951,5AeEw1s2DZ9c5Xd1BB2DKA,494,newamerican,4.5,Harrisburg,40.2643699,-76.8868901
952,vFa1UGQLzXnSDkDzUpkkwQ,642,newamerican,4,Harrisburg,40.250276,-76.814049
953,V1ieDWzBTCa6mrvjlvn8iQ,356,pizza,4,Harrisburg,40.263351,-76.887011
954,7rSZmkMVFLdFfGlBAYIiDA,246,newamerican,4,Harrisburg,40.32824991,-76.8262399
955,fh4EYuoRtCiCLsnGySwRgw,475,wine_bars,4,Harrisburg,40.303661,-76.842803
956,xnqcR_HLadz_f-OPN-fj6g,217,italian,4.5,Harrisburg,40.29263,-76.83022
957,NqC20n6JWHrlF9AsVXEF3g,254,mediterranean,4,Harrisburg,40.26023,-76.8793
958,Zrc34_NSIaM9Ok8nz3UfVA,6,seafood,4,Harrisburg,40.252412,-76.825435
959,nC-mhzBJFgW_f1arEyVNxQ,186,gourmet,4.5,Harrisburg,40.267733,-76.887912
960,ISFNcuoyE7okRpbvN0dE5w,174,newamerican,4,Harrisburg,40.26707,-76.88557
961,aGK2t20WM02XTtDEs_FvnA,118,wine_bars,4.5,Harrisburg,40.2716297,-76.89382319
962,T9_3ZHRksD_JL4c7iYzwfw,124,burgers,4.5,Harrisburg,40.26247054,-76.88629378
963,sII0GUW7FKS86phI5lV0IQ,135,cuban,4,Harrisburg,40.25429216,-76.87534913
964,DlImV1ouCzGvjf0jsoDqwA,224,mexican,4,Harrisburg,40.26025,-76.87998
965,HyAZcO_6ae4RrADY9j3gVw,72,peruvian,4.5,Harrisburg,40.25242705,-76.82533432
966,mxDWt7BfhbqH26w7F2QZ5Q,161,indpak,4.5,Harrisburg,40.26055,-76.88379
967,L3LqULqQRtaiOMqL3l46jg,69,steak,4,Harrisburg,40.2603111,-76.8818512
968,pfGABqwAEsu8ef7DeF8lAw,279,thai,4,Harrisburg,40.25452042,-76.85373688
969,8FrbfTCmii0BaxyxDPkbEg,158,wine_bars,4,Harrisburg,40.25996,-76.88276
970,AjsHCmP_ufqqDjw7cziBwQ,212,tradamerican,4,Harrisburg,40.25544,-76.87044
971,emrWfif3WaQs3_bLdpG9Lg,159,italian,4,Harrisburg,40.26523,-76.88614
972,akOoKx5dzn-zyVx5gYjF_g,209,korean,4.5,Lemoyne,40.2425194,-76.9018707
973,kJVlSr_mqgctthqNIkB-Lw,20,asianfusion,4.5,Harrisburg,40.271904,-76.890132
974,D4TlwFzMLPSlzLiXlPmP1w,213,vietnamese,4.5,Harrisburg,40.260737,-76.794275
975,VYA0Xr1dykHkQXJ2Pwlo6w,19,latin,5,Harrisburg,40.26222308,-76.88319366
976,1v3BSB99Jyn4Pl9vH9-Nnw,98,japanese,4.5,Harrisburg,40.26109,-76.88081
977,Qki8soGvUcoTVNw0fYzlqA,206,mediterranean,4.5,Harrisburg,40.260917,-76.883522
978,hqjC0FvpumF6fC4H8y_UvA,186,asianfusion,4,Harrisburg,40.309822,-76.799555
979,wplyqocwFZfoMR1KIFUrSA,89,italian,4.5,Harrisburg,40.32146338,-76.78631623
980,aXOojs33A9zK6g8jqMcH0A,150,cocktailbars,4,Harrisburg,40.26508,-76.88603
981,s7BZaUGusXNPUv2lz7tUZQ,159,newamerican,4,Harrisburg,40.2612801,-76.8838806
982,3IVIHJh8s0aseB4IKmwVtw,70,vietnamese,5,Harrisburg,40.3295343,-76.7543214
983,#NAME?,47,tapas,4.5,Harrisburg,40.26509825,-76.88608942
984,cqXVUIwq1hOeTeO1jFRaVQ,301,breweries,3.5,Harrisburg,40.26577377,-76.87550354
985,hHRKCD4uyS1M_RykpJrL8A,168,himalayan,4.5,New Cumberland,40.22693253,-76.86405945
986,FOOSyOmRk-HCBUKF5sI87Q,76,mediterranean,4.5,Camp Hill,40.258262,-76.917405
987,YhQ3nnEvYcVOS7sj8YUzfA,196,sandwiches,4.5,Harrisburg,40.26862,-76.88515
988,Y2Zz0NWlcHKFkwAOU-uXJA,112,juicebars,4.5,Harrisburg,40.34277,-76.79375
989,ajbUHcx87kPo6YSxI08fsw,160,newamerican,4,Harrisburg,40.26149,-76.88419
990,U5vX1RI2-s-x8r5CFdGYoA,111,steak,3.5,Harrisburg,40.33387,-76.902846
991,guWEz6nhlsSBUuJcdj7kBg,63,korean,4.5,Camp Hill,40.238968,-76.941123
992,ZfauqlsU6H74CPt5cPtSaw,179,italian,4.5,Harrisburg,40.27722,-76.89625
993,wS3ekbB9f4XA1e4uw9eG-Q,195,burgers,4,Harrisburg,40.2778005,-76.7751659
994,r_TyDjOJoFdD0V7JKsnADA,71,cajun,3.5,Harrisburg,40.2731664,-76.8866777
995,WqFK2lAhjKExNWPygC-E-g,26,tradamerican,4.5,Enola,40.273857,-76.916023
996,D_CpOr1bY5M1DJ9kT2thDQ,91,newamerican,4,Harrisburg,40.27475223,-76.89681568
997,lA5jWKzPnQ08KAZKziD28w,128,vegetarian,4,Harrisburg,40.263732,-76.888235
998,_lWYE7B166ckrCv_j-oPsg,132,bbq,4.5,Harrisburg,40.30805949,-76.80370948
999,Wb39pTKjGezk40S_fDwWmQ,551,coffee,4,Harrisburg,40.25204086,-76.81890106
1000,J4ES_5H8H0aN9hg8sYEuYw,1097,italian,4.5,Hartford,41.765561,-72.6759886
1001,kQPI_A5EdRfxsk4L92RYoQ,635,tradamerican,4,Hartford,41.76671,-72.67533
1002,AXbyLbXN8T0AM8FzsnxJ0w,507,newamerican,4,Hartford,41.762173,-72.686945
1003,Cuk0Jlu1PmoIw6CHlzoZSA,1261,bbq,4,Hartford,41.762647,-72.671375
1004,Ey5fDHNuDmVfiHdyDnz6ag,245,newamerican,4,Hartford,41.76098,-72.67513
1005,aEkwEHAiIdxCuYKtvv_Y6w,480,bbq,4,Hartford,41.76777861,-72.67961442
1006,ey5baaQGHGy9_0ttnly6aA,331,pizza,4.5,Hartford,41.76173,-72.6706899
1007,Jg51u2lRQUHpwj7hsyLMnA,89,italian,4,Hartford,41.7665781,-72.6772536
1008,5WAEv30Xofhxhw-7g4tkxw,126,chickenshop,4.5,Hartford,41.76268006,-72.67142698
1009,PKXtLI0-92urioZjFs2F5g,576,comedyclubs,3.5,Hartford,41.76806,-72.67283
1010,2Sg4TbJ76yQ4Tu4oRF9W5A,385,bars,4,Hartford,41.766767,-72.676782
1011,rtja1jiaLwPRloM_OKqY5Q,317,steak,4,Hartford,41.76289,-72.6704199
1012,3umdE_Aq1PhTQIsk3gSWyA,143,italian,4,Hartford,41.768552,-72.6748402
1013,uSwshoJPxPqS5D8YjYz6og,65,sushi,4.5,Hartford,41.76687,-72.67507
1014,ZwVDNjgkLooLa7UciTtbwA,294,gastropubs,4,Hartford,41.76629721,-72.70709235
1015,Eb1i1slSteqfmHq--K5nbQ,2,thai,4.5,Hartford,41.767618,-72.674717
1016,cqSbqOFNSxTsuzGBn6yvXQ,158,hotpot,4,Hartford,41.75547,-72.71413
1017,vdppb2F1oeAj680_ismbgg,50,vegetarian,4.5,Hartford,41.76341057,-72.69286998
1018,otkyZYjawXDrVTzSymPwXw,158,french,4,Hartford,41.76658,-72.66924
1019,GmuWTLmtF98jjUryVGH-OQ,150,italian,4,Hartford,41.73232,-72.67429
1020,PFAVIMh38zex6loQxGiz_g,114,italian,4,Hartford,41.7665672,-72.6775834
